Location;Depth;FreshWt;PctM;BD(uncorrected)
126F;1;264.71;45.09536785;0.154041102
126F;1;264.71;NA;NA
126F;1;264.71;45.06258693;0.157325835
126F;2;842.31;31.3283208;0.875574933
126F;2;842.31;29.55974843;0.903037265
126F;2;842.31;35.40372671;0.816499415
126F;3;898.23;32.08762887;1.012181004
126F;3;898.23;36.1589404;0.979050096
131N1;3;752.86;20.16412661;0.781625693
131N1;3;752.86;19.67020024;0.7918042
131N1;3;752.86;23.37821297;0.774102587
131N1;2;711.37;24.38478747;0.621424135
131N1;2;711.37;22.73809524;0.679238239
131N1;2;711.37;21.00456621;0.67011995
131N1;4;917.72;20.94594595;0.734180114
131N1;4;917.72;21.21212121;0.728498072
131N1;4;917.72;22.13209733;0.74084574
157G;1;309.97;51.67883212;0.207108479
157G;1;309.97;52.01793722;0.211116712
157G;1;309.97;NA;NA
157G;2;729.96;32.91457286;0.643589481
157G;2;729.96;34.68869123;0.633913801
157G2;4;971.28;NA;NA
157G2;4;971.28;NA;NA
