Sample_ID;Species;Rep;Depth;pH_litter;lignin;CN_litter;FWt_whole;FWt_sub;DWt_sub;pct_M;BD;pH_Soil;TOC(g/kg);TON(g/kg);CN_soil;PctDOC;Mic_geff
a11;a;1;1;5;28;37;100;23;17,5;0,239130435;0,195171004;4,9;14;0,35;40;3;0,5
a12;a;1;2;5;28;40;110;21;16,5;0,214285714;0,191849931;4,8;12;0,292682927;41;3;0,46
a13;a;1;3;5;28;41;112;20;16;0,2;0,179681671;4,6;8;0,19047619;42;4;0,44
a14;a;1;4;5;28;39;98;20;15,5;0,225;0,159164387;4,6;8;0,2;40;2,8;0,38
a21;a;2;1;4,5;30;38;89;20;17,5;0,125;0,224446655;5;13;0,342105263;38;3;0,49
a22;a;2;2;4,5;30;34;99;20;16,5;0,175;0,201442427;4,9;11;0,323529412;34;3,1;0,48
a23;a;2;3;4,5;30;33;102;20;16;0,2;0,179681671;4,8;8;0,228571429;35;3,4;0,47
a24;a;2;4;4,5;30;31;103;21;15,5;0,261904762;0,15158513;4,7;7;0,21875;32;3,5;0,48
a31;a;3;1;4,8;29;38;104;21;17,5;0,166666667;0,213758719;4,9;11;0,268292683;41;3,1;0,5
a32;a;3;2;4,8;29;37;105;21;16,5;0,214285714;0,191849931;4,8;9;0,225;40;2,9;0,48
a33;a;3;3;4,8;29;37;113;21;16;0,238095238;0,171125401;4,6;9;0,225;40;2,8;0,48
a34;a;3;4;4,8;29;35;112;23;15,5;0,326086957;0,138403815;4,6;4;0,102564103;39;2,7;0,4
b11;b;1;1;7;22;37;110;23;19;0,173913043;0,147189213;7,1;15;0,416666667;36;3,2;0,44
b12;b;1;2;7;22;33;100;22;18;0,181818182;0,13579277;7,2;16;0,470588235;34;3,5;0,43
b13;b;1;3;7;22;31;100;22;17;0,227272727;0,110782031;7,3;17;0,548387097;31;3,7;0,42
b14;b;1;4;7;22;29;100;23;16;0,304347826;0,098531622;7,1;17;0,607142857;28;3,7;0,41
b21;b;2;1;6,9;21;33;100;25;19;0,24;0,135414076;7;13;0,382352941;34;3,4;0,43
b22;b;2;2;6,9;21;30;100;25;18;0,28;0,119497637;7;8;0,275862069;29;3,5;0,42
b23;b;2;3;6,9;21;27;98;26;17;0,346153846;0,093738641;7;8;0,285714286;28;3,6;0,41
b24;b;2;4;6,9;21;27;99;22;16;0,272727273;0,103010332;7;9;0,321428571;28;3,7;0,36
b31;b;3;1;7,1;23;34;104;23;19;0,173913043;0,147189213;7,1;9;0,257142857;35;3,5;0,4
b32;b;3;2;7,1;23;30;107;20;18;0,1;0,149372047;7,2;10;0,333333333;30;3,8;0,38
b33;b;3;3;7,1;23;29;107;20;17;0,15;0,121860234;7,3;11;0,35483871;31;4;0,37
b34;b;3;4;7,1;23;30;108;23;16;0,304347826;0,098531622;7;12;0,4;30;4;0,36
c11;c;1;1;6,4;15;18;104;21;16,5;0,214285714;0,161207233;6,5;8;0,444444444;18;4,5;0,35
c12;c;1;2;6,4;15;19;105;22;15,5;0,295454545;0,13579277;6,5;10;0,5;20;4,8;0,34
c13;c;1;3;6,4;15;21;96;20;14;0,3;0,121860234;6,7;14;0,666666667;21;5;0,32
c14;c;1;4;6,4;15;23;88;20;13,5;0,325;0,113311365;6,7;18;0,818181818;22;5;0,31
c21;c;2;1;6,6;14;20;90;20;16,5;0,175;0,169267595;6,6;12;0,631578947;19;5;0,33
c22;c;2;2;6,6;14;20;90;21;15,5;0,261904762;0,142259092;6,6;16;0,8;20;4,9;0,32
c23;c;2;3;6,6;14;21;90;21;14;0,333333333;0,116057365;6,5;17;0,85;20;4,9;0,31
c24;c;2;4;6,6;14;21;91;23;13,5;0,413043478;0,098531622;6,5;19;0,904761905;21;5;0,3
c31;c;3;1;6,7;13;21;95;240;16,5;0,93125;0,014105633;6,4;10;0,476190476;21;4,5;0,32
c32;c;3;2;6,7;13;25;100;21;15,5;0,261904762;0,142259092;6,3;14;0,583333333;24;4,6;0,31
c33;c;3;3;6,7;13;25;100;20;14;0,3;0,121860234;6,3;19;0,76;25;4,6;0,3
c34;c;3;4;6,7;13;22;99;19;13,5;0,289473684;0,119275121;6,2;20;0,869565217;23;4,7;0,29
