site;depth;avg.bd;pct.n;pct.n.bd;pct.c;pct.c.bd;c.n;avg.m;taxa
125J;1;0.884;0.38;0.336;4.912;4.343;12.928;32.674;Acer
125J;2;1.063;0.214;0.227;3.154;3.352;14.742;21.765;Acer
125J;3;1;0.145;0.145;2.623;2.623;18.055;NA;Acer
125J;4;0.943;0.12;0.113;2.304;2.173;19.243;43.223;Acer
126Y;1;0.723;0.561;0.405;6.82;4.93;12.167;63.131;Fraxinus
126Y;2;0.968;0.273;0.264;3.768;3.646;13.807;35.836;Fraxinus
126Y;3;1.232;0.151;0.187;2.657;3.274;17.547;29.234;Fraxinus
126Y;4;1.037;0.119;0.124;2.199;2.28;18.429;1.034;Fraxinus
127E;1;0.701;0.448;0.314;6.374;4.47;14.238;54.347;Quercus
127E;2;0.931;0.241;0.224;3.585;3.34;14.881;33.541;Quercus
127E;3;1.069;0.131;0.14;1.295;1.385;9.889;26.805;Quercus
127E;4;0.747;0.14;0.105;2.361;1.763;16.869;25.95;Quercus
126E;1;0.999;0.124;0.124;1.345;1.343;10.867;51.643;Fagus
126E;2;1.019;0.386;0.394;6.218;6.339;16.092;29.958;Fagus
126E;3;1.127;0.166;0.187;2.82;3.178;17.035;0.924;Fagus
126E;4;0.83;NA;NA;NA;NA;NA;0.762;Fagus
127F;1;0.727;0.414;0.301;4.461;3.241;10.772;40.364;Populus
127F;2;1.039;0.212;0.22;3.058;3.176;14.435;27.234;Populus
127F;3;1.168;NA;NA;NA;NA;NA;31.681;Populus
127F;4;0.925;0.161;0.149;2.496;2.308;15.525;31.365;Populus
130P;1;0.927;0.371;0.344;4.999;4.636;13.487;0.316;Populus
130P;2;0.915;0.194;0.178;2.958;2.708;15.224;20.279;Populus
130P;3;0.907;0.15;0.136;2.606;2.364;17.376;19.201;Populus
130P;4;0.961;0.135;0.129;2.367;2.275;17.576;19.59;Populus
130Q1;1;0.882;0.437;0.386;5.804;5.119;13.273;53.039;Acer
130Q1;2;0.908;0.204;0.185;3.065;2.782;15.042;0.026;Acer
130Q1;3;0.905;0.156;0.141;2.516;2.277;16.126;0.589;Acer
130Q1;4;0.881;0.126;0.111;2.257;1.989;17.899;0.723;Acer
130T2;1;0.741;0.514;0.381;6.279;4.653;12.217;61.966;Fraxinus
130T2;2;1.039;0.227;0.236;3.449;3.582;15.188;31.826;Fraxinus
130T2;3;1.041;0.152;0.158;2.611;2.719;17.225;25.871;Fraxinus
130T2;4;0.715;0.142;0.101;2.518;1.8;17.775;27.691;Fraxinus
131M;1;0.857;0.333;0.285;4.572;3.918;13.729;39.46;Quercus
131M;2;0.998;0.156;0.155;2.512;2.507;16.126;27.452;Quercus
131M;3;1.114;0.165;0.184;2.769;3.084;16.782;24.866;Quercus
131M;4;0.896;0.157;0.141;2.345;2.101;14.926;25.936;Quercus
131N2;1;0.878;0.415;0.365;6.609;5.803;15.911;38.331;Picea_ab
131N2;2;0.978;0.196;0.192;3.226;3.155;16.422;24.489;Picea_ab
131N2;3;0.977;0.159;0.155;2.646;2.586;16.644;24.191;Picea_ab
131N2;4;0.961;0.134;0.129;2.384;2.29;17.788;19.79;Picea_ab
131V1;1;0.935;0.352;0.329;3.412;3.189;9.692;27.985;Fraxinus
131V1;2;0.358;0.125;0.045;1.358;0.486;10.873;18.439;Fraxinus
131V1;3;1.103;0.17;0.187;2.693;2.969;15.874;18.3;Fraxinus
131V1;4;1.033;0.08;0.082;0.994;1.027;12.445;19.04;Fraxinus
131V2;1;0.604;0.501;0.302;6.218;3.754;12.42;67.41;Populus
131V2;2;1.042;0.277;0.289;3.998;4.166;14.409;32.063;Populus
131V2;3;1.033;0.178;0.183;2.716;2.807;15.298;33.73;Populus
131V2;4;0.959;0.135;0.129;2.208;2.118;16.411;29.103;Populus
132Q;1;1;0.313;0.313;4.626;4.623;14.794;35.198;Fagus
132Q;2;0.943;NA;NA;NA;NA;NA;28.392;Fagus
132Q;3;1.019;0.135;0.137;2.373;2.418;17.644;20.457;Fagus
132Q;4;0.853;0.132;0.112;2.244;1.914;17.05;22.47;Fagus
133U1;1;0.759;0.6;0.456;8;6.075;13.331;49.133;Picea_ab
133U1;2;0.987;0.255;0.252;3.835;3.785;15.015;33.618;Picea_ab
133U1;3;1.016;0.156;0.159;2.629;2.672;16.838;27.982;Picea_ab
133U1;4;0.908;0.137;0.124;2.303;2.092;16.835;24.834;Picea_ab
133U2;1;0.794;0.605;0.48;6.845;5.432;11.315;53.645;Populus
133U2;2;1.045;0.297;0.31;4.018;4.199;13.539;34.14;Populus
133U2;3;1.127;0.174;0.196;2.856;3.218;16.423;25.38;Populus
133U2;4;0.941;0.125;0.117;2.147;2.021;17.239;28.214;Populus
133V1;1;0.77;0.513;0.395;6.465;4.976;12.598;52.156;Acer
133V1;2;1.028;0.275;0.283;3.969;4.082;14.449;0.663;Acer
133V1;3;0.969;0.188;0.182;3.062;2.966;16.286;0.815;Acer
133V1;4;0.902;0.169;0.153;2.904;2.62;17.134;0.637;Acer
134T;1;0.739;NA;NA;NA;NA;NA;66.555;Quercus
134T;2;0.904;0.23;0.208;3.38;3.057;14.674;56.756;Quercus
134T;3;0.876;0.151;0.132;1.691;1.481;11.194;51.981;Quercus
134T;4;0.964;0.131;0.127;2.339;2.255;17.808;25.853;Quercus
134X;1;0.959;0.365;0.35;5.605;5.376;15.345;18.009;Fagus
134X;2;0.98;0.223;0.219;3.449;3.38;15.44;26.8;Fagus
134X;3;0.921;0.167;0.154;2.795;2.573;16.752;24.097;Fagus
134X;4;1.034;0.124;0.128;2.176;2.25;17.559;19.327;Fagus
135J;1;0.82;0.423;0.347;5.441;4.459;12.858;33.794;Acer
135J;2;0.955;NA;NA;NA;NA;NA;27.784;Acer
135J;3;0.968;0.167;0.161;2.795;2.705;16.752;23.27;Acer
135J;4;0.884;0.148;0.131;2.503;2.213;16.904;23.945;Acer
