Location;Depth;AvgBD;AvgM;Species;TN;TC ;C:N
125J;1;0.121468746;32.67441821;Acer;0.379993902;4.912490973;12.9278153
125J;2;0.749748236;21.76505583;Acer;0.21398208;3.154420134;14.74151545
125J;3;na;na;Acer;0.145256448;2.62262224;18.05511749
125J;4;1.099146054;43.22336413;Acer;0.119711522;2.303580291;19.24276165
126Y;1;0.247798723;63.13142049;Fraxinus;0.560535552;6.819863399;12.16669196
126Y;2;0.87333198;35.83634188;Fraxinus;0.272871684;3.767673087;13.80749016
126Y;3;1.083638301;29.23442496;Fraxinus;0.151435217;2.657282218;17.54732001
126Y;4;39.54691959;1.033544187;Fraxinus;0.119347123;2.199425529;18.42881066
127E;1;0.225039104;54.34706796;Quercus;0.447685404;6.374198612;14.23812023
127E;2;0.651317843;33.54138372;Quercus;0.240934952;3.585404198;14.88121241
127E;3;0.726562688;26.80536092;Quercus;0.130981656;1.295282062;9.889034069
127E;4;0.59108471;25.95046456;Quercus;0.13996484;2.361125606;16.86941957
126E;1;0.433519912;51.64348907;Fagus;0.123748222;1.344791203;10.86715578
126E;2;0.772169101;29.95843822;Fagus;0.386406619;6.217952213;16.09173318
126E;3;0.923624854;0.923624854;Fagus;0.165527969;2.819732571;17.03478019
126E;4;0.762147877;0.762147877;Fagus;na;na;na
127F;1;0.216314039;40.3642302;Populus;0.414122139;4.461015826;10.7722225
127F;2;1.522102528;27.23440471;Populus;0.211855269;3.058075667;14.43473972
127F;3;0.987472844;31.68088131;Populus;na;na;na
127F;4;0.970785608;31.36481184;Populus;0.16077532;2.495973883;15.52460839
130P;1;0.315530036;0.315530036;Populus;0.370655433;4.999120472;13.48724456
130P;2;0.56516289;20.27902332;Populus;0.194327839;2.958489964;15.22422101
130P;3;0.54910743;19.20080817;Populus;0.149958663;2.605731207;17.37632999
130P;4;0.857812833;19.58991337;Populus;0.134667978;2.366897248;17.5757985
130Q1;1;0.229523843;53.03943268;Acer;0.437261682;5.803702026;13.2728347
130Q1;2;0.613711947;0.025644272;Acer;0.203752194;3.064833815;15.04196721
130Q1;3;0.589450191;0.589450191;Acer;0.156002643;2.515745238;16.12629886
130Q1;4;0.722877669;0.722877669;Acer;0.126107504;2.257190991;17.89894279
130T2;1;0.255097936;61.96586947;Fraxinus;0.51395777;6.279059392;12.21707261
130T2;2;0.778310977;31.8262138;Fraxinus;0.22710261;3.449157696;15.18766208
130T2;3;0.745962903;25.87058547;Fraxinus;0.151589786;2.611197471;17.22541827
130T2;4;0.534578576;27.69057537;Fraxinus;0.141667071;2.518168858;17.77525885
131M;1;0.283300893;39.45988995;Quercus;0.333024305;4.57209454;13.72901159
131M;2;0.712055215;27.45162428;Quercus;0.155783964;2.512240928;16.1264412
131M;3;0.850848758;24.86624659;Quercus;0.164998294;2.769062293;16.78236923
131M;4;0.839870189;25.93625929;Quercus;0.157079194;2.344592076;14.9261784
131N2;1;0.317481755;38.33061595;Picea_ab;0.415385387;6.609373771;15.91142581
131N2;2;0.661442028;24.48926983;Picea_ab;0.19645388;3.226142801;16.42188383
131N2;3;0.669586268;24.19129459;Picea_ab;0.158957327;2.645756104;16.64444263
131N2;4;0.948689859;19.79045402;Picea_ab;0.13401778;2.383914871;17.78804921
131V1;1;0.312813507;27.98483012;Fraxinus;0.352040363;3.41186608;9.69169003
131V1;2;0.767402474;18.43891403;Fraxinus;0.124855991;1.357574419;10.873122
131V1;3;0.806457901;18.29951054;Fraxinus;0.169630425;2.69269894;15.87391496
131V1;4;1.066843132;19.03952931;Fraxinus;0.079891535;0.994228824;12.44473297
131V2;1;0.169800235;67.41035696;Populus;0.500645432;6.217858768;12.41968542
131V2;2;0.559944708;32.0630749;Populus;0.277481849;3.998367053;14.40947244
131V2;3;0.538163624;33.72985531;Populus;0.177547026;2.716192701;15.29844097
131V2;4;1.024262941;29.10344148;Populus;0.134550045;2.208037923;16.41053273
