Sample_ID;litter;micro;root;sterile;Time;Rep;pH_litter;pct_lignin;CN_litter;TOC;pct_min;pct_agg;litter_remain;MAOM;rMAOM;DOC;SAOM;POM;mic_ge
oooy11;o;o;o;y;1;1;na;na;na;0;0;0;0;0;0;0;0;0;0
oooy12;o;o;o;y;1;2;na;na;na;0;0;0;0;0;0;0;0;0;0
oooy13;o;o;o;y;1;3;na;na;na;0;0;0;0;0;0;0;0;0;0
oooy21;o;o;o;y;2;1;na;na;na;0;0;0;0;0;0;0;0;0;0
oooy22;o;o;o;y;2;2;na;na;na;0;0;0;0;0;0;0;0;0;0
oooy23;o;o;o;y;2;3;na;na;na;0;0;0;0;0;0;0;0;0;0
oooy31;o;o;o;y;3;1;na;na;na;0;0;0;0;0;0;0;0;0;0
oooy32;o;o;o;y;3;2;na;na;na;0;0;0;0;0;0;0;0;0;0
oooy33;o;o;o;y;3;3;na;na;na;0;0;0;0;0;0;0;0;0;0
oooy41;o;o;o;y;4;1;na;na;na;0;0;0;0;0;0;0;0;0;0
oooy42;o;o;o;y;4;2;na;na;na;0;0;0;0;0;0;0;0;0;0
oooy43;o;o;o;y;4;3;na;na;na;0;0;0;0;0;0;0;0;0;0
aoon11;a;o;o;n;1;1;5.1;28;37;0;99;1;96;0.3;0;3;0;96.7;0.12
aoon12;a;o;o;n;1;2;4.8;29;40;0;98;2;95;0;0;2;0;98;0.14
aoon13;a;o;o;n;1;3;4.9;27;41;0.1;100;0;93;0;0;2;0;98;0.22
aoon21;a;o;o;n;2;1;5.1;31;38;0.2;88;12;90;0.8;0.2;1;5;93;0.22
aoon22;a;o;o;n;2;2;4.8;30;34;0.1;86;14;90;1.9;0.1;2;16;80;0.21
aoon23;a;o;o;n;2;3;4.9;28;33;0;85;15;85;2.7;0.3;3;20;80;0.25
aoon31;a;o;o;n;3;1;5;29;38;0.2;79;21;87;2.5;0.5;3;24;80;0.33
aoon32;a;o;o;n;3;2;4.8;29;37;0;76;24;87;4.4;0.6;2;28;80;0.35
aoon33;a;o;o;n;3;3;4.6;29;37;0.3;77;23;86;7.4;0.6;4;32;80;0.41
aoon41;a;o;o;n;4;1;5;30;40;0;75;25;76;11.3;0.7;5;34;80;0.48
aoon42;a;o;o;n;4;2;4.8;31;41;0.1;72;28;77;12.4;0.6;4;31;80;0.49
aoon43;a;o;o;n;4;3;4.6;29;41;0.4;69;31;78;13.2;0.8;3;32;80;0.51
aooy11;a;o;o;y;1;1;5.1;28;40;0;99;1;100;0;0;3;0;0;0
aooy12;a;o;o;y;1;2;4.8;29;41;0;98;2;100;0;0;2;0;0;0
aooy13;a;o;o;y;1;3;4.9;27;38;0;100;0;99;0;0;2;0;0;0
aooy21;a;o;o;y;2;1;5.1;31;40;0;88;12;99;0.8;0;1;0;0;0
aooy22;a;o;o;y;2;2;4.8;30;41;0;86;14;98;0.1;0;2;0;0;0
aooy23;a;o;o;y;2;3;4.9;28;38;0;85;15;98;0.4;0;3;0;0;0
